PV;Wind Binnenland;Wind Coast;Wind Offshore
0;0.17405;0.643443;0.956258
0;0.193264;0.682746;0.95988
0;0.208901;0.708734;0.968589
0;0.238661;0.738089;0.968298
0;0.266328;0.795356;0.966343
0;0.243642;0.803365;0.972712
0;0.287764;0.806664;0.97653
0;0.321389;0.81489;0.976703
0.001;0.371697;0.806632;0.97673
0.006;0.351213;0.794;0.97676
0.01;0.390174;0.794097;0.976663
0.007;0.375996;0.819207;0.972723
0.011;0.340372;0.854747;0.961046
0.019;0.335978;0.877349;0.936664
0.017;0.349113;0.887342;0.908087
0;0.388638;0.905985;0.877198
0;0.414543;0.922923;0.873853
0;0.443826;0.92337;0.888353
0;0.448813;0.925566;0.888954
0;0.449079;0.931483;0.87987
0;0.419675;0.930826;0.871838
0;0.450147;0.922999;0.855959
0;0.493767;0.91261;0.866692
0;0.446911;0.892498;0.894081
0;0.378255;0.861294;0.914567
0;0.478075;0.829824;0.933569
0;0.504784;0.78802;0.949432
0;0.513963;0.75791;0.965763
0;0.477778;0.730868;0.975901
0;0.454395;0.702806;0.975058
0;0.400235;0.690442;0.963917
0;0.365756;0.696049;0.937098
0.077;0.36712;0.618348;0.893369
0.167;0.329014;0.495877;0.827685
0.29;0.316002;0.429755;0.752069
0.347;0.350323;0.451192;0.682833
0.281;0.343549;0.437875;0.636331
0.219;0.303927;0.405397;0.613758
0.113;0.268774;0.376047;0.601298
0.002;0.287298;0.343535;0.578021
0;0.285259;0.278764;0.555386
0;0.256061;0.239054;0.539849
0;0.208003;0.209321;0.529173
0;0.15193;0.189067;0.526389
0;0.121644;0.177694;0.529174
0;0.10475;0.166597;0.536199
0;0.08731;0.1586;0.557773
0;0.073401;0.156689;0.573115
0;0.069869;0.159733;0.588007
0;0.066699;0.16892;0.601984
0;0.066595;0.178886;0.609864
0;0.08092;0.183401;0.622721
0;0.096549;0.18351;0.645455
0;0.119097;0.180284;0.659775
0;0.126019;0.166623;0.652417
0;0.120379;0.143861;0.630462
0.008;0.111983;0.116639;0.590027
0.032;0.100429;0.091139;0.544789
0.06;0.106698;0.069841;0.503772
0.078;0.134424;0.070927;0.470354
0.08;0.1458;0.072674;0.422438
0.054;0.148232;0.086713;0.380765
0.022;0.166296;0.123305;0.362743
0;0.213558;0.150038;0.356995
