PV;Wind Coast;Wind Offshore
0;0.643443;0.956258
0;0.682746;0.95988
0;0.708734;0.968589
0;0.738089;0.968298
0;0.795356;0.966343
0;0.803365;0.972712
0;0.806664;0.97653
0;0.81489;0.976703
0.001;0.806632;0.97673
0.006;0.794;0.97676
0.01;0.794097;0.976663
0.007;0.819207;0.972723
0.011;0.854747;0.961046
0.019;0.877349;0.936664
0.017;0.887342;0.908087
0;0.905985;0.877198
0;0.922923;0.873853
0;0.92337;0.888353
0;0.925566;0.888954
0;0.931483;0.87987
0;0.930826;0.871838
0;0.922999;0.855959
0;0.91261;0.866692
0;0.892498;0.894081
0;0.861294;0.914567
0;0.829824;0.933569
0;0.78802;0.949432
0;0.75791;0.965763
0;0.730868;0.975901
0;0.702806;0.975058
0;0.690442;0.963917
0;0.696049;0.937098
0.077;0.618348;0.893369
0.167;0.495877;0.827685
0.29;0.429755;0.752069
0.347;0.451192;0.682833
0.281;0.437875;0.636331
0.219;0.405397;0.613758
0.113;0.376047;0.601298
0.002;0.343535;0.578021
0;0.278764;0.555386
0;0.239054;0.539849
0;0.209321;0.529173
0;0.189067;0.526389
0;0.177694;0.529174
0;0.166597;0.536199
0;0.1586;0.557773
0;0.156689;0.573115
0;0.159733;0.588007
0;0.16892;0.601984
0;0.178886;0.609864
0;0.183401;0.622721
0;0.18351;0.645455
0;0.180284;0.659775
0;0.166623;0.652417
0;0.143861;0.630462
0.008;0.116639;0.590027
0.032;0.091139;0.544789
0.06;0.069841;0.503772
0.078;0.070927;0.470354
0.08;0.072674;0.422438
0.054;0.086713;0.380765
0.022;0.123305;0.362743
0;0.150038;0.356995
0;0.151606;0.336882
0;0.132223;0.266711
0;0.105153;0.196312
0;0.107541;0.234596
0;0.127486;0.302043
0;0.140052;0.326126
0;0.150028;0.324628
0;0.172393;0.363209
0;0.222541;0.444498
0;0.284644;0.511715
0;0.323739;0.599459
0;0.374917;0.700944
0;0.400581;0.78324
0;0.4077;0.826482
0;0.411926;0.843699
0;0.452039;0.850904
0.003;0.441479;0.845503
0.007;0.465496;0.827588
0.011;0.475366;0.823789
0.035;0.484169;0.822684
0.039;0.502481;0.821234
0.021;0.502047;0.814457
0.009;0.482236;0.797095
0;0.477899;0.801801
0;0.478168;0.821434
0;0.473201;0.825265
0;0.470842;0.822098
0;0.478107;0.836372
0;0.513197;0.852084
0;0.590209;0.890603
0;0.628261;0.923507
0;0.652066;0.945799
0;0.675948;0.96185
0;0.715011;0.973219
0;0.749039;0.975932
0;0.753502;0.976523
0;0.744565;0.976026
0;0.725182;0.973637
0;0.693479;0.970367
0;0.639062;0.967239
0.007;0.569192;0.962158
0.03;0.482404;0.953293
0.048;0.409555;0.93838
0.055;0.360776;0.926008
0.05;0.315398;0.907845
0.02;0.26686;0.890957
0.005;0.262312;0.868032
0;0.259838;0.833466
0;0.233721;0.797419
0;0.184338;0.800137
0;0.149414;0.799267
0;0.131504;0.799141
0;0.10639;0.812382
0;0.089553;0.826
0;0.081524;0.831149
0;0.083706;0.825531
0;0.086615;0.800202
0;0.083037;0.783232
0;0.092614;0.75075
0;0.093476;0.715773
0;0.099675;0.67651
0;0.105471;0.642727
0;0.109208;0.608067
0;0.118029;0.595714
0.008;0.132259;0.585793
0.025;0.136734;0.546862
0.045;0.140034;0.495962
0.063;0.150758;0.474998
0.068;0.170205;0.467138
0.061;0.212372;0.466682
0.031;0.2485;0.477887
0;0.275962;0.477808
0;0.27511;0.4779
0;0.256691;0.467543
0;0.242374;0.430367
0;0.242265;0.441698
0;0.250983;0.493681
0;0.26736;0.507136
0;0.252924;0.510632
0;0.253729;0.553693
0;0.282197;0.58246
0;0.311726;0.585788
0;0.333104;0.545263
0;0.323654;0.502477
0;0.28523;0.451548
0;0.268844;0.45047
0;0.23977;0.425076
0;0.216696;0.400713
0.018;0.215408;0.431177
0.089;0.202198;0.486029
0.115;0.193959;0.614411
0.119;0.206396;0.762182
0.083;0.25264;0.854528
0.034;0.324502;0.89633
0.007;0.393825;0.908901
0;0.446174;0.896369
0;0.535062;0.953546
0;0.62277;0.958106
0;0.694723;0.97625
0;0.740578;0.976131
0;0.742956;0.976713
0;0.748517;0.975923
0;0.746249;0.97623
0;0.747044;0.966964
0;0.776389;0.946955
0;0.822181;0.906388
0;0.86265;0.854063
0;0.893866;0.780887
0;0.922373;0.689858
0;0.947632;0.670736
0;0.954063;0.758167
0;0.939307;0.862659
0.008;0.911371;0.924162
0.03;0.889336;0.9191
0.04;0.875971;0.881303
0.049;0.866638;0.804467
0.042;0.866293;0.769951
0.035;0.8613;0.750474
0.014;0.838029;0.828159
0;0.790982;0.889699
0;0.766263;0.944639
0;0.805362;0.96813
0;0.838307;0.975059
0;0.850916;0.976803
0;0.843644;0.974897
0;0.831432;0.972335
0;0.826702;0.969831
0;0.81309;0.966698
0;0.790049;0.962456
0;0.773617;0.959133
0;0.762845;0.952597
0;0.748985;0.948153
0;0.739097;0.950425
0;0.72851;0.953557
0;0.712877;0.957014
0;0.699924;0.963653
0.014;0.682848;0.967608
0.059;0.669873;0.964933
0.233;0.680376;0.960425
0.277;0.685208;0.955776
0.251;0.6583;0.950276
0.196;0.62484;0.946675
0.066;0.582558;0.936563
0.003;0.553073;0.926658
0;0.533008;0.920533
0;0.494699;0.910557
0;0.441172;0.888247
0;0.36335;0.845546
0;0.323938;0.811474
0;0.278364;0.759537
0;0.227466;0.693503
0;0.181077;0.62625
0;0.142233;0.541427
0;0.114705;0.475552
0;0.100947;0.436649
0;0.088596;0.383259
0;0.081304;0.309531
0;0.075164;0.246089
0;0.070784;0.17679
0;0.065495;0.114159
0.01;0.054015;0.061839
0.028;0.041466;0.031311
0.045;0.02913;0.032102
0.054;0.026336;0.064493
0.05;0.029878;0.124457
0.037;0.037584;0.188919
0.018;0.056517;0.229021
0;0.075069;0.25347
0;0.095679;0.270905
0;0.125626;0.302193
0;0.148365;0.357031
0;0.152402;0.40406
0;0.158205;0.387857
0;0.17186;0.343521
0;0.186696;0.336849
0;0.198462;0.40059
0;0.212559;0.481946
0;0.22713;0.536083
0;0.22904;0.602155
0;0.261824;0.685405
0;0.309565;0.746271
0;0.336854;0.719115
0;0.327258;0.706459
0;0.313878;0.756254
0;0.351236;0.80957
0.003;0.385482;0.8206
0.012;0.378587;0.834661
0.02;0.429758;0.861998
0.014;0.52554;0.892104
0.003;0.567969;0.907156
0.001;0.566958;0.901428
0;0.564561;0.900201
0;0.564564;0.899059
0;0.546748;0.898433
0;0.529102;0.891384
0;0.520258;0.877958
0;0.517145;0.863974
0;0.509827;0.839111
0;0.481407;0.795802
0;0.449515;0.748951
0;0.446176;0.733294
0;0.432892;0.757063
0;0.428757;0.799859
0;0.419415;0.821211
0;0.456596;0.822923
0;0.481412;0.810579
0;0.455655;0.809588
0;0.438978;0.866372
0.02;0.502473;0.917465
0.066;0.538395;0.935195
0.081;0.48927;0.934975
0.063;0.549065;0.914473
0.031;0.598499;0.897574
0.005;0.595527;0.891203
0;0.573675;0.897178
0;0.567946;0.922705
0;0.55778;0.941352
0;0.603016;0.945544
0;0.658002;0.943649
0;0.670182;0.93636
0;0.640935;0.925345
0;0.627325;0.902833
0;0.592647;0.867854
0;0.537273;0.833788
0;0.53943;0.783243
0;0.509432;0.760937
0;0.468156;0.774518
0;0.443813;0.799499
0;0.393606;0.820561
0;0.383862;0.884052
0;0.421612;0.933817
0;0.512881;0.946911
0;0.591417;0.950209
0.005;0.6282;0.960449
0.011;0.657993;0.962979
0.013;0.655764;0.96486
0.007;0.639552;0.973999
0.002;0.710447;0.975905
0;0.780543;0.958717
0;0.832796;0.950495
0;0.865819;0.949166
0;0.869129;0.948726
0;0.87565;0.95246
0;0.883806;0.966121
0;0.890419;0.975745
0;0.885188;0.976803
0;0.866663;0.976552
0;0.845128;0.974033
0;0.814475;0.969758
0;0.789661;0.966503
0;0.773973;0.965291
0;0.778958;0.968224
0;0.78622;0.972522
0;0.780404;0.976025
0;0.776292;0.976807
0;0.774192;0.976277
0.007;0.74624;0.976577
0.035;0.715063;0.976629
0.109;0.722791;0.975192
0.162;0.736822;0.972531
0.22;0.729016;0.97067
0.186;0.722806;0.970261
0.064;0.698062;0.967739
0.004;0.675917;0.960892
0;0.640943;0.950919
0;0.624842;0.935295
0;0.615202;0.90973
0;0.599917;0.868984
0;0.584511;0.806526
0;0.560038;0.793713
0;0.533196;0.848753
0;0.471462;0.896908
0;0.483759;0.928475
0;0.607692;0.93936
0;0.653923;0.931594
0;0.624998;0.916971
0;0.596772;0.901054
0;0.581917;0.878478
0;0.593229;0.870087
0;0.495316;0.886456
0.025;0.488681;0.919527
0.057;0.546604;0.925344
0.144;0.595717;0.936584
0.229;0.63135;0.943991
0.196;0.666411;0.943641
0.131;0.690674;0.948673
0.044;0.738567;0.944752
0.002;0.719303;0.947557
0;0.666281;0.950914
0;0.612635;0.946802
0;0.602214;0.933359
0;0.590962;0.943416
0;0.645008;0.930806
0;0.655713;0.916422
0;0.624851;0.900264
0;0.595775;0.895628
0;0.567075;0.887892
0;0.552101;0.879635
0;0.541335;0.879763
0;0.549819;0.882769
0;0.537993;0.883013
0;0.536868;0.893812
0;0.53254;0.90855
0;0.554603;0.921507
0.023;0.56034;0.916097
0.061;0.560039;0.929213
0.139;0.586516;0.953048
0.205;0.660375;0.954072
0.183;0.658076;0.958651
0.124;0.662443;0.952016
0.049;0.684341;0.953521
0.002;0.686821;0.956562
0;0.68278;0.960332
0;0.680365;0.969321
0;0.679789;0.973862
0;0.682743;0.968303
0;0.681293;0.941164
0;0.666278;0.873804
0;0.625368;0.796418
0;0.56004;0.780877
0;0.470857;0.826248
0;0.414557;0.857461
0;0.433552;0.886426
0;0.461828;0.916756
0;0.484265;0.937689
0;0.515298;0.947642
0;0.546173;0.941556
0.002;0.605731;0.896279
0.07;0.609941;0.809617
0.164;0.590207;0.74527
0.127;0.495891;0.73855
0.07;0.419786;0.750767
0.031;0.395942;0.751724
0.024;0.35475;0.729448
0.022;0.316699;0.731973
0.001;0.30989;0.775133
0;0.264025;0.831145
0;0.243736;0.861287
0;0.242267;0.849145
0;0.264349;0.815124
0;0.296778;0.811163
0;0.29808;0.825788
0;0.3467;0.814437
0;0.344984;0.736829
0;0.350048;0.564055
0;0.29877;0.360738
0;0.217668;0.22386
0;0.139625;0.180944
0;0.080347;0.24816
0;0.091138;0.356127
0;0.177683;0.398263
0.007;0.257684;0.344935
0.119;0.237506;0.253356
0.33;0.177669;0.181479
0.456;0.147803;0.145854
0.49;0.143064;0.141136
0.446;0.160889;0.150165
0.331;0.141159;0.159735
0.144;0.168962;0.168849
0.014;0.204203;0.174121
0;0.202004;0.180147
0;0.179318;0.188025
0;0.158209;0.192634
0;0.144998;0.191142
0;0.127993;0.181542
0;0.121198;0.179507
0;0.118811;0.190915
0;0.115061;0.213736
0;0.111423;0.238974
0;0.112236;0.265564
0;0.114816;0.288212
0;0.110656;0.301456
0;0.106185;0.316043
0;0.103296;0.339368
0;0.104346;0.368103
0.008;0.105332;0.390208
0.089;0.081339;0.395923
0.174;0.050465;0.371782
0.255;0.037455;0.332664
0.306;0.050338;0.307485
0.31;0.046386;0.276612
0.261;0.046144;0.259819
0.146;0.066102;0.266858
0.02;0.100129;0.296745
0;0.14393;0.326909
0;0.185054;0.349037
0;0.212175;0.35925
0;0.218881;0.354772
0;0.208159;0.337253
0;0.188561;0.305375
0;0.16495;0.261825
0;0.142466;0.21321
0;0.123816;0.171263
0;0.109162;0.139703
0;0.096698;0.114311
0;0.086826;0.094254
0;0.078928;0.078916
0;0.072747;0.075706
0;0.066001;0.081661
0.029;0.057065;0.0904
0.236;0.038962;0.09535
0.397;0.028581;0.083158
0.488;0.030343;0.068514
0.514;0.027835;0.050363
0.481;0.022931;0.034797
0.389;0.020069;0.02479
0.23;0.022558;0.024011
0.042;0.025394;0.020967
0;0.029516;0.020799
0;0.034013;0.022918
0;0.039443;0.029854
0;0.047096;0.04674
0;0.057955;0.078595
0;0.070069;0.10531
0;0.081922;0.135206
0;0.090668;0.168818
0;0.092696;0.204098
0;0.091769;0.243315
0;0.090794;0.288589
0;0.102603;0.339073
0;0.119121;0.383532
0;0.132622;0.398426
0;0.154657;0.365797
0.031;0.161151;0.288959
0.238;0.168741;0.212267
0.392;0.166633;0.180016
0.482;0.168629;0.165604
0.509;0.15787;0.169999
0.478;0.148232;0.185037
0.387;0.142215;0.192583
0.229;0.149505;0.188186
0.043;0.179297;0.16666
0;0.191594;0.135731
0;0.178698;0.117896
0;0.163408;0.130745
0;0.153429;0.173413
0;0.145112;0.242266
0;0.142084;0.319261
0;0.133911;0.395417
0;0.127445;0.467717
0;0.134673;0.523468
0;0.14645;0.568532
0;0.161272;0.603322
0;0.173857;0.636891
0;0.176385;0.666507
0;0.179686;0.695246
0;0.184461;0.733491
0.01;0.190875;0.778072
0.089;0.177708;0.813098
0.177;0.169064;0.83269
0.234;0.18505;0.855318
0.259;0.246083;0.860551
0.242;0.270201;0.853544
0.165;0.270867;0.848424
0.064;0.296752;0.84585
0.005;0.32418;0.835617
0;0.322498;0.816053
0;0.311714;0.789871
0;0.29741;0.748048
0;0.280048;0.698703
0;0.261809;0.648157
0;0.246142;0.605532
0;0.233699;0.565061
0;0.218153;0.517195
0;0.200273;0.454544
0;0.180884;0.383256
0;0.163504;0.320322
0;0.140059;0.265907
0;0.123887;0.222548
0;0.115519;0.188634
0;0.109406;0.158861
0.005;0.099604;0.132905
0.049;0.096542;0.105588
0.085;0.091447;0.089291
0.12;0.091911;0.069841
0.16;0.091795;0.059305
0.162;0.090022;0.059892
0.127;0.095446;0.066709
0.065;0.107434;0.085392
0.009;0.12851;0.120013
0;0.150072;0.130705
0;0.153722;0.13395
0;0.151512;0.136599
0;0.152474;0.144546
0;0.164288;0.151444
0;0.178594;0.131163
0;0.178274;0.089761
0;0.158185;0.055411
0;0.131597;0.030356
0;0.105508;0.020636
0;0.088067;0.023312
0;0.083803;0.027605
0;0.078656;0.02294
0;0.066195;0.021413
0;0.055338;0.029569
0.009;0.053871;0.040705
